Contact Method,Name,Date,Time,City,State,Observer,Vessel,GIS Latitude,GIS Longitude,Depth (ft),Location,Region/Buoy#,Reef Zone,Wind Spd.,Air Temp (°F),SST (°F),Bottom Temp (°F),Cloud Cover,Bleaching?,Severity,Branching/Pillar,Brain,Encrusting/Mound/Boulder,Flowering/Cup,Leaf/Plate/Sheet,Fleshy,% bleached,Max Depth (ft),Min Depth (ft),Baseline Indicators,Baseline Indicators,Baseline Indicators,Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In Person,Joey Mandera,6/26/2016,11:00,Summerland Key ,FL,Research,Mote Marine Laboratory (MML),24.48928,-81.67348,no data,Middle Sambo,no data,Bank Reef,no data,no data,no data,no data,no data,No,none,none,none,none,none,none,none,0%,no data,no data,no data,no data,no data,Black band disease on MCAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In Person,Cory Walter,6/27/2016,11:00,Summerland Key ,FL,Research,Mote Marine Laboratory (MML),24.55182,-81.38751,27,Site N Outplant,no data,other/don't know, 5-10 kts,no data,no data,no data,partly cloudy,No,none,none,none,none,none,none,none,0%,no data,no data,no data,no data,no data,no disease,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Email, Cindy Lewis,6/27/2016,11:00,Long Key ,FL,Research, Keys Marine Laboratory (KML),24.84724,-80.62019,25, Alligator SPA,no data,Bank Reef, 5-10 kts,85,no data,no data,clear,No,none,none,none,none,none,none,none,0%,no data,no data,no data,no data,no data,no disease reported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Email, Michele Mason,6/27/2016,11:00,Summerland Key ,FL,Resident,Summerland Key Resident ,24.61541,-81.39309,8, Newfound Harbor Sanctuary Preservation Zone,Buoy # 1 & 5, Hardbottom, 5-10 kts,86,87,no data,mostly cloudy,No,none,none,none,none,none,none,none,0%,no data,no data,no data,no data,no data,At Buoy 5 I will monitor a massive starlet coral which has fish bites but also lighter areas which Cory Walter advises could be disease. I have a photo.,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Email, Cindy Lewis,6/28/2016,no data,Long Key ,FL,Research, Keys Marine Laboratory (KML),24.71823,-80.84495,no data, Tennessee Reef,no data,Bank Reef, 5-10 kts,85,no data,no data,clear,No,none,none,none,none,none,none,none,0%,no data,no data,no data,no data,no data,no disease reported,,,,, ,,,, ,,,,,,, , , ,, , ,,,, , , ,,,,,,,,,, , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Email, Cindy Lewis,6/28/2016,11:00,Long Key ,FL,Research, Keys Marine Laboratory (KML),24.90046,-80.61723,20, Cheeca Rocks SPA,no data, Patch Reef, 5-10 kts,85,no data,no data,clear,No,none,none,none,none,none,none,none,0%,no data,no data,no data,no data,no data,no disease reported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In Person,Peter Horton,6/28/2016,no data,Key West ,FL,Resident,Key West Resident,24.54263,-81.78987,no data,Casa Marina Reef,no data, Patch Reef, 5-10 kts,84,86,82,partly cloudy,No,none,none,none,none,none,none,none,0%,no data,no data,no data,no data,no data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Email, Bill Ferrell C/O Keys Marine Lab,6/29/2016,12:00,Long Key ,FL,Research,Keys Marine Laboratory (KML),24.68489,-80.96512,20, Coffins patch stake,no data, Patch Reef, 0-5 kts,86,86,86,clear,Yes,partial bleaching,none,none,partial bleaching,none,none,none,1-10%,10,20,palythoa,no data,no data,The bleaching I am reporting on S SSID may have been disease. It was blotchy with some yellowish parts and some white spots. Also saw one S SSID with black band disease.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Email, Bill Ferrell C/O Keys Marine Lab,6/29/2016,10:30,Long Key ,FL,Research,Keys Marine Laboratory (KML),24.66118,-80.99418,23, Pillar Patch (West end of Coffins patch SPA),no data, Patch Reef, 0-5 kts,87,86,86,clear,Yes,partial bleaching,partial bleaching,none,none,none,none,none,1-10%,12,20,palythoa,no data,no data,"signs of white plague, and black band on the pillar coral. A few of the pillar corals had lower parts that were bleached white",, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Email, Bill Ferrell C/O Keys Marine Lab,6/29/2016,11:00,Long Key ,FL,Research,Keys Marine Laboratory (KML),24.62572,-81.11760,23, Sombrero Key Reef, west end,Bank Reef, 0-5 kts,87,86,86,no data,No,none,none,none,none,none,none,none,0%,no data,no data,no data,no data,no data,Water was green with current on west side flowing SSW and current on East side flowing ENE.  No bleaching observed.,,,, ,,,,,,, , , ,, , ,,,, , , ,,,,,,,,,, , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In Person,Peter Horton,6/29/2016,11:00,Key West ,FL,Resident,Key West Resident,24.44450,-81.92643,21,Western Dry Rocks,no data,Bank Reef, 5-10 kts,86,87,85,clear,No,none,none,none,none,none,none,none,0%,no data,no data,no data,no data,no data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Email, Trevor Thompson,6/29/2016,11:00,Medina ,OH,Visitor, OA Ocean Adventure/Florida Sea Base,24.68500,-80.39642,20, Coffin's Patch,no data, Patch Reef,no data,no data,no data,no data,no data,No,none,none,none,none,none,none,none,0%,no data,no data,no data,no data,no data,,, ,, ,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Email, Richard and Patricia Collins,6/29/2016,no data,Big Pine Key,FL,Resident,Summerland Key Resident ,24.54465,-81.40939,25, Looe Key Buoy 29,Buoy #29,Bank Reef,no data,no data,no data,no data,no data,No,none,none,none,none,none,none,none,0%,no data,no data,no data,no data,no data,Not much bleaching but algae seems to be over growing soft corals. Will send a few pictures and label the email Looe Key Buoy 29.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Email, Richard and Patricia Collins,6/29/2016,no data,Big Pine Key,FL,Resident,Summerland Key Resident ,24.61528,-81.39270,15, Newfound Harbor Sanctuary Preservation Zone,Buoy # 5, Patch Reef,no data,no data,no data,no data,no data,No,none,none,none,none,none,none,none,0%,no data,no data,no data,no data,no data,"There did not appear to be any new paling or bleaching, although those patch reefs have a lot of old damage. We did observe some new coral growth and healthy sea fans, although we did see a sea fan overgrown which was a first for either of us. We will send pictures to go with this with fire coral report and the subject will be Newfound Harbor June 29 Buoy 5.",,,,,, ,, ,,,,,,,, ,,,,,,,, ,, ,, ,,,,,,,,,,,, ,,,, ,, ,, ,,,,,,,, ,,,, ,,,,,,, , , ,, , ,,,, , , ,,,,,,,,,, , , ,,,,,,,,,,,,,,, ,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Email, Trevor Thompson,6/30/2016,11:00,Medina ,OH,Visitor, OA Ocean Adventure/Florida Sea Base,24.62548,-81.11178,30, Sombrero Key Reef,no data,Bank Reef,no data,no data,no data,no data,clear,No,none,none,none,none,none,none,none,0%,no data,no data,no data,no data,no data,,,,, ,, ,, ,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Email, Donna Blaszcak,6/30/2016,11:00,Marathon ,FL,Resident, M/V Calypso Voyager,24.70406,-80.93953,27, Joe's Reef (NE of Coffin's Patch SPA),no data, Patch Reef,no data,no data,no data,85,no data,No,none,none,bleaching,none,none,none,none,1-10%,25,27,no data,no data,no data,"Over all, the reef looked GREAT.  However, after a 2 hr. dive, I came across a total of 3 relatively small (1-2 cubic foot) Brain Corals, which were completely white, but looked healthy other wise.  I will submit photos under",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Email, Erich Bartels,7/1/2016,10:30,Summerland Key ,FL,Research,Mote Marine Laboratory (MML),24.53840,-81.45338,25, Site U/SWG Outplant Site,no data, Patch Reef, 10-15 kts,no data,no data,no data,no data,No,none,none,none,none,none,none,none,0%,no data,no data,no data,no data,no data,No disease noted,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Email, Erich Bartels,7/4/2016,11:30,Summerland Key ,FL,Research,Mote Marine Laboratory (MML),24.55077,-81.37998,55, Hill Shallow,no data,other/don't know,no data,no data,no data,no data,no data,No,none,none,none,none,none,none,none,0%,no data,no data,no data,no data,no data,No disease noted,,,,,,,, ,,,, ,, ,, ,,,,,,,, ,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Email, Erich Bartels,7/4/2016,14:00,Summerland Key ,FL,Research,Mote Marine Laboratory (MML),24.55290,-81.38015,25,Site P Outplant,no data,other/don't know,no data,no data,no data,no data,no data,No,none,none,none,none,none,none,none,0%,no data,no data,no data,no data,no data,No disease noted,,,,,,,,,, ,,,, ,, ,, ,,,,,,,, ,,,, ,,,,,,, , , ,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Email, Erich Bartels,7/4/2016,11:00,Summerland Key ,FL,Research,Mote Marine Laboratory (MML),24.56883,-81.38113,25, Patch E of Looe ROA,no data, Patch Reef,no data,no data,no data,no data,no data,No,none,none,none,none,none,none,none,0%,no data,no data,no data,no data,no data,No disease noted,,,,,,,,,,,, ,,,, ,, ,, ,,,,,,,, ,,,, ,,,,,,, , , ,, , ,,,, , , ,,,,,,,,,, , , ,,,,,,,,,,,,,,, ,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In Person, Cory Walter,7/5/2016,11:00,Summerland Key ,FL,Research,Mote Marine Laboratory (MML),24.53725,-81.44683,60, Ace of Spades,no data,other/don't know, 5-10 kts,no data,no data,no data,no data,No,none,none,none,none,none,none,none,0%,no data,no data,no data,no data,no data,Saw some white disease on OFAV...about 10 colonies,,,, ,,,, ,, ,, ,,,,,,,, ,,,, ,,,,,,, , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Email,Brian Reckenbeil,7/5/2016,no data,Marathon ,FL,Research, Florida Fish and Wildlife (FWC),24.62648,-81.10862,20, Sombrero Key Reef,no data,Bank Reef,no data,no data,no data,no data,no data,No,none,none,none,none,none,none,none,0%,no data,no data,no data,no data,no data,no disease noted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Email, Erich Bartels,7/7/2016,11:00,Summerland Key ,FL,Research,Mote Marine Laboratory (MML),24.55268,-81.38230,25, Combat Wounded Veterans,no data,other/don't know,no data,no data,no data,no data,no data,No,none,none,none,none,none,none,none,0%,no data,no data,no data,no data,no data,No disease reported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Email, Cindy Lewis,7/8/2016,11:00,Long Key ,FL,Research, Keys Marine Laboratory (KML),24.69000,-80.91900,25, Middle Keys, Critter Ridge,Bank Reef, 5-10 kts,86,86,88,clear,No,none,none,none,none,none,none,none,0%,no data,no data,no data,no data,no data,"no disease, DCYL old WP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Email, Cindy Lewis,7/8/2016,13:15,Long Key ,FL,Research, Keys Marine Laboratory (KML),24.71800,-80.84500,20, Middle Keys, LKLD-1,Bank Reef, 5-10 kts,86,86,88,clear,No,none,none,none,none,none,none,none,0%,no data,no data,no data,no data,no data,"no disease, DCYL old WP",,,, ,, ,, ,,,,,,,, ,,,, ,,,,,,, , , ,, , ,,,, , , ,,,,,,,,,, , , ,,,,,,,,,,,,,,, ,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In Person, Cory Walter,7/8/2016,11:00,Summerland Key ,FL,Research,Mote Marine Laboratory (MML),24.45511,-81.85623,20, Rock Key,Buoy # 8,Bank Reef, 5-10 kts,no data,no data,no data,no data,No,none,none,none,none,none,none,none,0%,no data,no data,palythoa,no data,no data,,No disease noted, ,,,, ,, ,, ,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Email, Janice Duquesnel,7/8/2016,11:00,Islamorada ,FL,Research, Florida Park Service (FPS),24.88335,-80.67696,1, Seagrass bed near Indian Key. Marker #5 along Indian Key Channel, seagrass bed,other/don't know,no data,no data,no data,no data,no data,Yes,partial bleaching,partial bleaching,none,partial bleaching,none,none,none,1-10%,no data,1,no data,no data,no data,"While conducting a seagrass grounding assessment, I observed a few colonies  of SSID and PFUR that were partially bleached. Although I was not in reef of SSID and PFUR that were partially bleached. Although I was not in reef seagrass and macro algae species",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In Person,Peter Horton,7/8/2016,no data,Key West ,FL,Resident,Key West Resident,24.45440,-81.85772,21,Rock Key,Buoy #R4,Bank Reef, 10-15 kts,89,89,88,clear,No,none,none,none,none,none,none,none,0%,no data,no data,no data,no data,no data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Email,Brian Reckenbeil,7/8/2016,no data,Marathon ,FL,Research, Florida Fish and Wildlife (FWC),24.65678,-81.00973,no data,Tropical Rocks,no data,other/don't know,no data,no data,no data,no data,no data,No,none,none,none,none,none,none,none,0%,no data,no data,no data,no data,no data,no disease noted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In Person,Joey Mandera,7/10/2016,no data,Summerland Key ,FL,Research,Mote Marine Laboratory (MML),24.62355,-82.94247,no data,Windjamer Wreck,no data,other/don't know,no data,no data,no data,no data,no data,No,none,none,none,none,none,none,none,0%,no data,no data,no data,no data,no data,BBD on CNAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Email,Derek Manzello,7/11/2016,10:45,"Miami, FL",FL,Research,NOAA,24.90046,-80.61723,20, Cheeca Rocks SPA,no data, Patch Reef,no data,no data,no data,no data,no data,Yes,paling,no data,no data,no data,no data,no data,no data,1-10%,no data,no data,no data,no data,no data,"Overall, the reef looked very healthy.  I did not see any disease other than maybe one or two aberrant colonies, and only a few were showing some paling.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In Person, Cory Walter,7/12/2016,no data,Summerland Key ,FL,Research,Mote Marine Laboratory (MML),24.52292,-81.51683,22, American Shoals,no data,Bank Reef, 5-10 kts,no data,no data,no data,no data,No,none,none,none,none,none,none,none,0%,no data,no data,palythoa,no data,no data,Saw 1 OFAV with blackband, ,,, ,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Email,Erich Bartels,7/12/2016,11:30,Summerland Key ,FL,Research,Mote Marine Laboratory (MML),24.56023,-81.50127,25,Wonderland ,no data, Mid-Channel Reef, 5-10 kts,no data,no data,no data,no data,Yes,paling,none,none,paling,none,none,none,1-10%,no data,no data,no data,no data,no data,BBD (small amounts),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Email,Erich Bartels,7/12/2016,11:00,Summerland Key ,FL,Research,Mote Marine Laboratory (MML),24.54129,-81.44066,22,ACER 84/85,no data,Bank Reef,no data,no data,no data,no data,no data,No,none,none,none,none,none,none,none,0%,no data,no data,no data,no data,no data,no disease noted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Email,Erich Bartels,7/12/2016,11:00,Summerland Key ,FL,Research,Mote Marine Laboratory (MML),24.52999,-81.48959,24,ACER 77/78,no data,Bank Reef,no data,no data,no data,no data,no data,No,none,none,none,none,none,none,none,0%,no data,no data,no data,no data,no data,no disease noted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Email,Erich Bartels,7/12/2016,no data,Summerland Key ,FL,Research,Mote Marine Laboratory (MML),24.52672,-81.50054,24,ACER 76,no data,Bank Reef,no data,no data,no data,no data,no data,No,none,none,none,none,none,none,none,0%,no data,no data,no data,no data,no data,no disease noted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In Person, Dave Vaughan,7/13/2016,11:00,Summerland Key ,FL,Research,Mote Marine Laboratory (MML),24.54480,-81.81020,15," Fort Zachery Taylor State Park, Key West", Behind Beach Jetty,other/don't know,no data,no data,no data,no data,no data,Yes,paling,none,paling,paling,none,none,none,11-30%,12,15,no data,no data,no data,,, ,, ,,,,,, ,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In Person,Peter Horton,7/13/2016,no data,Key West ,FL,Resident,Key West Resident,24.54268,-81.78997,12,Casa Marina Reef,40 yds. off Marker 4, Patch Reef, 5-10 kts,87,92,89,partly cloudy,Yes,paling,none,none,paling,none,none,none,11-30%,no data,no data,no data,no data,no data,Black Band Disease on SSID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In Person,Peter Horton,7/13/2016,no data,Key West ,FL,Resident,Key West Resident,24.44487,-81.92653,21,Western Dry Rocks, Buoy # WD3,Bank Reef, 5-10 kts,87,90,88,partly cloudy,No,none,none,none,none,none,none,none,0%,no data,no data,palythoa,fire coral,no data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In Person,Cory Walter,7/13/2016,13:30,Summerland Key ,FL,Research,Mote Marine Laboratory (MML),24.45350,-81.86000,no data,Rock Key,no data,Bank Reef,no data,no data,no data,no data,no data,No,none,none,none,none,none,none,none,0%,no data,no data,no data,no data,no data,no disease noted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Email, Dan Merselis,7/13/2016,11:00,"Miami, FL",FL,Research,Florida International University (FIU),24.93517,-80.54949,20, Hens and Chickens,no data, Patch Reef, 0-5 kts,no data,no data,no data,no data,Yes,upper surface,none,partial bleaching,partial bleaching,partial bleaching,none,none,1-10%,10,20,no data,no data,no data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In Person, Cory Walter,7/14/2016,11:00,Summerland Key ,FL,Research,Mote Marine Laboratory (MML),24.55290,-81.38015,25, Big Pine Ledge,no data,Bank Reef, 10-15 kts,no data,no data,no data,no data,No,none,none,none,none,none,none,none,0%,no data,no data,fire coral,no data,no data,No disease noted.,, ,,,,,, ,, ,,,,,,,, ,,,,,,,, ,, ,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Email, Michele Mason,7/14/2016,no data,Summerland Key ,FL,Resident,Summerland Key Resident,24.61622,-81.39160,7.7, Newfound Harbor Sanctuary Preservation Zone, Buoy  #3 and #5, Hardbottom, 5-10 kts,85,88,no data,no data,Yes,paling,none,paling,paling,paling,none,none,1-10%,4,7,no data,no data,no data,,,,, ,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Email,Trudy Ferraro,7/14/2016,no data,Key Largo ,FL,Research, Florida Park Service (FPS),25.11140,-80.34038,no data,Cannon Patch,no data,other/don't know,no data,no data,no data,no data,no data,No,none,none,none,none,none,none,none,0%,no data,no data,no data,no data,no data,no disease noted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Email,Trudy Ferraro,7/14/2016,no data,Key Largo ,FL,Research, Florida Park Service (FPS),25.11110,-80.34002,no data,Cannon Patch,no data,other/don't know,no data,no data,no data,no data,no data,No,none,none,none,none,none,none,none,0%,no data,no data,no data,no data,no data,Dark spot on approx. 2% SSID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
